criminal_id,name,age,base_risk_score,age_group,threat_level,total_crimes_committed
7e1b2913-fdaf-409a-9f71-3c0a4a8c45ba,Manan Shankar,46,47,36-50 (Middle Age),Low,11
14873296-122c-4323-b2bf-498ff084ed99,Bhanumati Varghese,25,56,18-25 (Young Adult),Medium,7
4689bbce-2a2d-4176-8ebe-ea5fb1fa3abd,Abhiram Sani,65,65,50+ (Senior),Medium,9
7dd520a6-a52c-421d-a671-0e8a2cbb4fe3,Ekbal Gill,30,39,26-35 (Adult),Low,13
6702261c-d3f8-491d-a4a6-078c3b5610bf,Girish Vasa,41,11,36-50 (Middle Age),Low,9
70ce0d12-f9f5-4343-9b16-a9f7d1a9bd80,Amruta Dugal,53,19,50+ (Senior),Low,9
89289048-17ba-4eff-92d4-b41a676e5d65,Kabir Sagar,26,21,26-35 (Adult),Low,5
c2a4d03c-d3b7-435b-8f75-4e77fb0b498c,Garima Bhatti,29,61,26-35 (Adult),Medium,12
44581a90-38fb-40dd-afa9-e147971518e7,Frado Patel,30,52,26-35 (Adult),Medium,6
93104ed5-6c5c-407e-97ad-0fe12e96bfda,Amol Brahmbhatt,30,68,26-35 (Adult),Medium,6
79011574-ce31-4e42-996a-290564a5ab54,Ladli Sanghvi,30,87,26-35 (Adult),Critical,13
4ddfa3fc-3eb6-4c1b-9a6d-29717a9bb1c1,Saumya Uppal,30,49,26-35 (Adult),Low,12
1333cfca-3c19-4e93-9085-7722e2c1fbfa,Netra Madan,53,25,50+ (Senior),Low,7
59254672-f90d-4ca0-91d9-aac46ca50f8e,Harrison Barad,65,73,50+ (Senior),High,7
03ca2aac-5688-4af2-8c06-24bef5d68f5f,Nidhi Ramaswamy,51,53,50+ (Senior),Medium,11
ed7033b0-5c65-4070-abce-73f5ba93d2c5,Arya Sekhon,26,18,26-35 (Adult),Low,11
c170cbc6-5844-4c0c-ac30-8e96384ab059,Laban Dani,31,71,26-35 (Adult),High,18
0f1496f8-1106-4623-b00b-adef9c214d9a,Max Prabhu,25,52,18-25 (Young Adult),Medium,14
95847c3c-fab3-48c9-ae9e-33df63a6df87,Jhalak Dyal,29,62,26-35 (Adult),Medium,12
74ccafff-f479-4684-bb2a-cba5bb87d992,Matthew Bhatnagar,48,67,36-50 (Middle Age),Medium,12
ad3ba669-fa9f-49e8-954f-e9ad29709a94,Jack Amble,27,43,26-35 (Adult),Low,8
dc9aaad2-cd7b-45db-a604-cbdb80f8eecd,Vasudha Borra,22,71,18-25 (Young Adult),High,10
78e66033-7173-4145-b424-65ad81f6ca32,Udarsh Shan,25,26,18-25 (Young Adult),Low,13
1145a5c3-39b4-4c0c-aa37-4856c703871d,Vrinda Dayal,53,55,50+ (Senior),Medium,10
f994403d-6000-4499-b2d5-c1d13f69ffff,Guneet Bassi,44,37,36-50 (Middle Age),Low,13
d11afc16-423c-4267-accd-641a3b8814ac,Ranbir Konda,65,56,50+ (Senior),Medium,8
8064faf2-2267-43d0-91a9-6082921876ae,Imaran Sundaram,18,66,18-25 (Young Adult),Medium,11
eb5c7c45-3192-46f3-8709-0bbc1a918c3b,Samar Swamy,23,70,18-25 (Young Adult),Medium,13
67af9deb-6d32-410e-aa4c-2307cb68bd4d,Kiaan Borra,34,57,26-35 (Adult),Medium,14
62456bdd-e636-402c-9095-119473f622c4,Jason Ramesh,28,64,26-35 (Adult),Medium,11
5e26d887-48d5-4003-b40f-6722eb0b24c4,Jack Ray,27,39,26-35 (Adult),Low,7
d2a0af7e-960a-4aa2-ba82-07c062680a88,Om Raval,46,73,36-50 (Middle Age),High,12
489fe774-91f2-43a0-a8bb-7fa159bb552b,Tarak Seshadri,30,60,26-35 (Adult),Medium,11
dda92871-e9b0-412a-80fa-9c814d05cd96,Amruta Mangal,65,53,50+ (Senior),Medium,7
f2b221a9-14fe-4dc8-934f-321bee1b0760,Urishilla Cherian,28,43,26-35 (Adult),Low,12
801c0c8b-b404-402b-b964-fd27bd0c91b2,Janaki Prakash,64,44,50+ (Senior),Low,11
f92a9233-7da5-4aca-a75a-29bc677b208f,Charan Borah,38,45,36-50 (Middle Age),Low,18
51b920f4-17dc-4ad9-a458-bd76d182e2a3,Christopher Pau,32,44,26-35 (Adult),Low,12
8e300260-612d-4580-980f-80900a51a25d,Arunima Dugal,35,58,26-35 (Adult),Medium,9
